1,3-D~                            other pesticide
2,4-D~                            herbicide
2,4-DB~                           herbicide
ABAMECTIN~                        insecticide
ACEPHATE~                         insecticide
ACETOCHLOR~                       herbicide
ACIFLUORFEN~                      herbicide
ALACHLOR~                         herbicide
ALDICARB~                         insecticide
AMETRYN~                          herbicide
AMITRAZ~                          insecticide
ASULAM~                           herbicide
ATRAZINE~                         herbicide
AZADIRACHTIN~                     insecticide
AZINPHOS-METHYL~                  insecticide
AZOXYSTROBIN~                     fungicide
BENEFIN~                          herbicide
BENOMYL~                          fungicide
BENSULFURON~                      herbicide
BENSULIDE~                        herbicide
BENTAZONE~                         herbicide
BENZYLADENINE~                    other pesticide
BIFENTHRIN~                       insecticide
BROMACIL~                          herbicide
BROMOXYNIL~                        herbicide
SULFUR               ~             fungicide
SULFURIC ACID        ~             other pesticide
SULPROFOS            ~             insecticide
TEBUCONAZOLE         ~             fungicide
TEBUFENOZIDE         ~             insecticide
TEBUPIRIMPHOS        ~             insecticide
TEBUTHIURON          ~             herbicide
TEFLUTHRIN           ~             insecticide
TERBACIL             ~             herbicide
TERBUFOS             ~             insecticide
THIDIAZURON          ~             other pesticide
THIFENSULFURON       ~             herbicide
THIOBENCARB          ~             herbicide
THIODICARB           ~             insecticide
THIOPHANATE-METHYL   ~             fungicide
THIRAM               ~             fungicide
TRALOMETHRIN         ~             insecticide
TRIADIMEFON          ~             fungicide
TRIALLATE            ~             herbicide
TRIASULFURON         ~             herbicide
TRIBENURON METHYL           ~             herbicide
TRIBUFOS             ~             other pesticide
TRICLOPYR            ~             herbicide
TRIFLUMIZOLE         ~             fungicide
TRIFLURALIN          ~             herbicide
TRIFLUSULFURON       ~             herbicide
TRIFORINE            ~             fungicide
TRIPHENYLTIN HYD     ~             fungicide
VERNOLATE            ~             herbicide
VINCLOZOLIN          ~             fungicide
ZIRAM                ~             fungicide
