STCOFIPS,fips-int,CountyName,State,bcows1950adj,mcows1950adj,cows1950adj,othercows1950,hogs1950adj,chickens1950adj,broilers1950adj,turkeys1950adj,sheep1950adj,horses1950adj,Cattle_N_kg-1950,Cattle_P_kg-1950,Hogs_N_kg-1950,Hogs_P_kg-1950,Poultry_N_kg-1950,Poultry_P_kg-1950,Other_N_kg-1950,Other_P_kg-1950,Total_N_kg-1950,Total_P_kg-1950
01001,1001,Autauga,AL,6290,2938,17250,8022,15059,51846,38374,1189,20,539,781216.9718,213630.6041,139798.8712,62132.83164,40375.88676,15097.38061,25116.307,4350.946,986508.0368,295211.7624
01003,1003,Baldwin,AL,9071,6574,30810,15165,17805,177788,27244,2373,2059,980,1388445.249,359656.4254,165291.1151,73462.7178,109487.4104,43032.55971,58910.4379,10214.1892,1722134.212,486365.8921
01005,1005,Barbour,AL,8079,4976,23756,10701,35068,57674,17416,892,0,841,1093433.475,289673.1006,325550.6219,144689.1653,37892.01985,14675.49753,38984.555,6753.23,1495860.672,455790.9934
01007,1007,Bibb,AL,1218,2132,7137,3787,5221,38692,50260,1021,29,337,321115.5357,74532.01243,48468.68361,21541.63716,36050.9259,13046.4508,15811.5299,2739.1352,421446.6751,111859.2356
01009,1009,Blount,AL,1043,5774,16843,10026,13860,215940,267314.32,4337,109,1087,739086.5666,156433.4671,128668.0626,57185.8056,197102.9982,71544.43902,51101.6279,8852.7392,1115959.255,294016.4509
01011,1011,Bullock,AL,16905,2992,32419,12522,9965,33154,19320,593,70,1386,1504289.591,454378.2061,92509.18065,41115.1914,24339.06447,9205.543792,64706.397,11209.296,1685844.233,515908.2373
01013,1013,Butler,AL,4412,4705,16160,7043,22849,62749,111412,693,20,620,762620.2462,187653.2845,212116.6351,94274.06004,66214.4089,23455.41495,28871.062,5001.376,1069822.352,310384.1355
01015,1015,Calhoun,AL,1045,4116,10208,5047,5975,73896,136139.36,3975,168,544,478774.0065,101081.4215,55468.37475,24652.611,80519.60147,28474.56657,26317.2008,4559.6384,641079.1835,158768.2374
01017,1017,Chambers,AL,3976,5699,18502,8827,6082,55026,4452,635,178,610,857937.5408,203124.8981,56461.69962,25094.08872,32768.6871,12980.48981,29442.1118,5101.0064,976610.0393,246300.483
01019,1019,Cherokee,AL,627,3303,7911,3981,10365,92323,76705.44,830,115,427,370495.598,76487.19647,96222.54465,42765.5754,73679.87325,27382.17698,20546.6165,3559.772,560944.6324,150194.7209
01021,1021,Chilton,AL,1669,4836,12133,5628,8529,95733,44257.64,1392,144,916,577396.0544,124960.4671,79178.20389,35190.31284,67028.70256,25596.8603,43404.1064,7519.4672,767007.0672,193267.1074
01023,1023,Choctaw,AL,4385,4073,15853,7395,9728,58046,280,545,52,1101,731074.4919,183442.4468,90309.01248,40137.33888,33321.0294,13315.52446,51377.3562,8900.2476,906081.89,245795.5578
01025,1025,Clarke,AL,4394,4260,16644,7990,14999,64965,0,997,40,1099,761967.7307,190122.8396,139241.8666,61885.27404,37355.20687,14932.40848,51206.069,8870.522,989770.8732,275811.0441
