STCOFIPS,fips-int,CountyName,State,bcows1959adj,mcows1959adj,cows1959adj,othercows1959,hogs1959adj,chickens1959adj,broilers1959adj,turkeys1959adj,sheep1959adj,horses1959adj,Cattle_N_kg-1959,Cattle_P_kg-1959,Hogs_N_kg-1959,Hogs_P_kg-1959,Poultry_N_kg-1959,Poultry_P_kg-1959,Other_N_kg-1959,Other_P_kg-1959,Total_N_kg-1959,Total_P_kg-1959
01001,1001,Autauga,AL,10369,1475,22711,10867,14552,72916,198002,158,382,756,1008566.909,302304.5586,135899.3593,60399.71526,95297.06989,32743.69383,37554.12,6507.156522,1277317.458,401955.1243
01003,1003,Baldwin,AL,15115,5745,39516,18656,18242,196777,2520,248,2530,643,1797699.961,500480.136,170359.8208,75715.47593,112775.9935,45039.60037,46428.365,8054.09,2127264.14,629289.3023
01005,1005,Barbour,AL,14438,2332,28174,11404,36758,79189,69832,258,3,1866,1305187.524,394211.5861,343278.4944,152568.2197,64121.28126,23750.82967,86518.14,14987.40783,1799105.439,585518.0433
01007,1007,Bibb,AL,4262,919,10354,5173,3523,24527,98560,69,90,551,457605.5729,133126.6,32900.86881,14622.60836,40734.39259,13618.25536,26132.905,4527.364783,557373.7393,165894.8285
01009,1009,Blount,AL,4459,2890,17367,10018,19235,571591,1152877.6,73,625,1400,752143.8231,195964.9681,179633.3271,79837.03429,638235.536,224005.417,69003.25,11956.13043,1639015.936,511763.5498
01011,1011,Bullock,AL,20879,1117,33418,11422,7722,27903,395816.4,179,27,1731,1577736.337,506302.5965,72114.81946,32051.03087,123370.5572,38604.37527,80417.895,13930.78043,1853639.609,590888.7831
01013,1013,Butler,AL,11269,2194,23657,10194,20731,37639,305076.24,242,72,1278,1084337.985,321854.7776,193604.2893,86046.35081,104309.8095,33442.07344,59714.73,10344.60783,1441966.814,451687.8096
01015,1015,Calhoun,AL,3677,2321,11742,5744,8860,180866,352926,128,287,676,536675.2607,140947.8839,82742.46314,36774.42806,198771.5045,69929.257,33221.57,5756.208696,851410.7983,253407.7777
01017,1017,Chambers,AL,8524,3004,20568,9040,4135,37751,145642,70,269,1334,951407.5038,268017.8562,38616.26243,17162.7833,61038.99056,20462.32057,63604.9,11019.38174,1114667.657,316662.3418
01019,1019,Cherokee,AL,2157,2143,9416,5116,15438,167534,399616,95,391,562,421819.5155,104699.3204,144173.6056,64077.15806,203842.1499,70690.70964,28620.38,4959.62,798455.651,244426.8081
01021,1021,Chilton,AL,4692,2431,13537,6414,8994,105285,98476,404,48,1063,620693.1569,167052.8174,83993.87286,37330.61016,86803.42173,32044.89607,49590.725,8590.735217,841081.1765,245019.0588
01023,1023,Choctaw,AL,6671,1480,14394,6243,9762,47700,0,211,38,1295,660510.0315,194073.867,91166.13151,40518.28067,27229.30206,10889.67341,60279.385,10442.26913,839184.8501,255924.0902
01025,1025,Clarke,AL,8140,1050,16797,7607,9108,45882,0,427,115,1248,755434.8936,228852.7196,85058.505,37803.78,26276.83409,10506.59029,58606.59,10152.84,925376.8227,287315.9298
01027,1027,Clay,AL,3098,1878,9487,4511,5717,80400,450600.08,86,258,826,436653.4109,115335.5433,53390.36815,23729.05251,168082.1512,55003.13419,39984.29,6927.573043,698110.2203,200995.3031
01029,1029,Cleburne,AL,1747,1038,5407,2622,5013,45175,1880843.16,56,157,558,247305.7643,65441.49985,46815.79771,20807.02121,536177.5124,163426.0243,26897.58,4660.129565,857196.6544,254334.6749
01031,1031,Coffee,AL,6629,2421,18197,9147,50776,70907,155540,151,26,1354,812327.5089,226137.9243,474190.8926,210751.5078,82627.14589,28828.17367,62935.49,10902.32783,1432081.037,476619.9337
01033,1033,Colbert,AL,5449,1738,16769,9582,14055,39130,52780,173,1163,757,716105.7163,199654.7299,131257.9367,58336.86077,36661.15672,13230.38099,42731.645,7407.563913,926756.4547,278629.5356
01035,1035,Conecuh,AL,7386,1721,18346,9239,23875,38586,63560,333,40,769,810203.5046,234223.2802,222965.7232,99095.87698,39338.06845,14007.03338,35909.795,6220.774348,1108417.091,353546.9649
01037,1037,Coosa,AL,2513,959,6478,3006,3039,51729,395108,10,197,551,296117.6462,82488.53719,28380.85164,12613.71184,136674.7494,43946.91738,26835.895,4649.623913,488009.1422,143698.7903
01039,1039,Covington,AL,10167,3055,26267,13045,61351,104811,112924,186,29,940,1171136.69,332158.8358,572949.5323,254644.2366,90371.67358,33082.20607,43764.23,7581.335652,1878222.126,627466.6142
01041,1041,Crenshaw,AL,6801,1796,15838,7241,31387,54005,165760,209,14,920,720101.502,207810.2629,293119.3782,130275.2792,75802.90865,25820.55412,42738.58,7403.596522,1131762.369,371309.6928
